Reference,Institution_Name,Address_1,Postcode,Email,Institution_Type,Latitude,Longitude,Pupil_Teacher_Ratio,Number_Pupils_2015
1AB0427,174 Trust Playgroup,Duncairn Complex,BT14 6BP,kaokane@outlook.com,VP Pre-schools,54.61253,-5.93645,,
5420059,Abbey Christian Brothers Grammar School,77a Ashgrove Road,BT34 2QN,info@abbey.newry.ni.sch.uk,Secondary (grammar) school,54.19349,-6.32846,15.81,902
3210313,Abbey Community College,Bridge Road,BT37 0EA,info@abbeycommunitycollege.newtownabbey.ni.sch.uk,Secondary (non-grammar) school,54.69015,-5.91848,13.5,613
4016399,Abbey Primary School,90 MOVILLA ROAD,BT23 8RQ,info@abbeyprimary.newtownards.ni.sch.uk,Primary school,54.59601,-5.66723,24.83,550
3010862,Abbots Cross Primary School,86 DOAGH ROAD,BT37 9QW,info@abbotscrossps.newtownabbey.ni.sch.uk,Primary school,54.66801,-5.91408,19.06,305
5011594,Abercorn Primary School,NEWRY ROAD,BT32 3HR,info@abercorn.banbridge.ni.sch.uk,Primary school,54.34449101,-6.274800943,23.67,364
4016201,Academy Primary School,194 LISTOODER ROAD,BT24 7JA,info@academyps.ballynahinch.ni.sch.uk,Primary school,54.45582,-5.83136,25.75,378
3066568,Acorn Integrated Primary School,110 VICTORIA ROAD,BT38 7JL,info@acornintegratedps.carrickfergus.ni.sch.uk,Primary school,54.73025,-5.79689,22.82,201
3AB0128,Aghadowey Pre-School Playgroup,32 Mullaghinch Road,BT51 4AP,,VP Pre-schools,55.02852,-6.61896,,0
2011873,Aghadrumsee Primary School,14 AGHADRUMSEE ROAD,BT92 7AU,info@aghadrumseeps.enniskillen.ni.sch.uk,Primary school,54.22984,-7.27745,15,32
5BB0202,Aghagallon Pre-School,St Patricks Primary School,BT67 0AR,aghagallonpreschool@gmail.com,VP Pre-schools,54.50933,-6.29315,,0
3AB0640,Ahoghill & District Community Pre-School Playgroup,58 Cardonaghy Road,BT42 1EF,,VP Pre-schools,54.86877,-6.36601,,0
4013046,Alexander Dickson Primary School,COMBER ROAD,BT23 5TN,info@adps.newtownards.ni.sch.uk,Primary school,54.50364,-5.78846,20.11,92
4056541,All Childrens Integrated Primary School,3A King Street,BT33 0HD,info@allchildrensint.newcastle.ni.sch.uk,Primary school,54.20117,-5.8931,23.6,216
2036557,All Saints Primary School,42 TATTYSALLAGH ROAD,BT78 5BR,info@allsaints.omagh.ni.sch.uk,Primary school,54.56059,-7.40137,20.4,96
3AB0353,Alphabet Playgroup,Community Centre,BT38 8TE,,VP Pre-schools,54.6975,-5.87108,,0
2032722,Altishane Primary School,139 DUNNYBOE ROAD,BT82 0RE,info@altishaneps.strabane.ni.sch.uk,Primary school,54.83664,-7.28007,8.5,17
3012234,Ampertaine Primary School,94 KILREA ROAD,BT46 5SB,info@ampertaineps.maghera.ni.sch.uk,Primary school,54.88365,-6.63151,23.33,126
4AB0431,Anahilt Pre-School Playgroup,29a West Winds Terrace,BT26 6BS,anahiltplaygroup@hotmail.co.uk,VP Pre-schools,54.43622,-5.99911,,0
4011608,Anahilt Primary School,248 BALLYNAHINCH ROAD,BT26 6BP,info@anahiltps.hillsborough.ni.sch.uk,Primary school,54.43679,-6.00042,21.28,123
3032257,Anahorish Primary School,120 DEERPARK ROAD,BT41 3SS,info@anahorishps.antrim.ni.sch.uk,Primary school,54.76633,-6.50263,22.75,182
5031146,Anamar Primary School,67 KILTYBANE ROAD,BT35 9BH,info@anamar.crossmaglen.ni.sch.uk,Primary school,54.11035,-6.61837,11.67,33
4016126,Andrews Memorial Primary School,4 BALLYGOWAN ROAD,BT23 5PG,info@andrewsmemorialps.newtownards.ni.sch.uk,Primary school,54.54686,-5.75425,24.14,338
5011684,Annalong Primary School,31 KILKEEL ROAD,BT34 4TH,info@annalongps.annalong.ni.sch.uk,Primary school,54.10725,-5.90284,26.07,133
4053009,Annsborough Primary School,51 BALLYLOUGH ROAD,BT31 9NN,info@annsboroughinte.castlewellan.ni.sch.uk,Primary school,54.26768,-5.92063,14,42
3410209,Antrim Grammar School,10 STEEPLE ROAD,BT41 1AF,info@antrimgrammar.antrim.ni.sch.uk,Secondary (grammar) school,54.72363,-6.21251,16.08,738
3010829,Antrim Primary School,31 STATION ROAD,BT41 4AB,info@antrimps.antrim.ni.sch.uk,Primary school,54.71678,-6.21577,24.92,603
4BB0310,Apple Blossom Pre-School,St Joseph's Primary School,BT30 9HS,glasswater.preschool@outlook.com,VP Pre-schools,54.39775,-5.76448,,0
3CB0567,Appletree Childcare,37 - 39 Tirkeeran Road,BT51 5AX,,VP Pre-schools,54.96866,-6.70652,,0
1420277,Aquinas Diocesan Grammar School,518 RAVENHILL ROAD,BT6 0BY,info@aquinas.belfast.ni.sch.uk,Secondary (grammar) school,54.57617,-5.90744,15.3,811
4BB0158,Ardglass Community Playgroup,21 Downpatrick Road,BT30 7SF,acp598@btconnect.com,VP Pre-schools,54.26602,-5.61502,,0
4310019,Ardmore House Special School,95A SAUL STREET,BT30 6NJ,info@ardmorespec.downpatrick.ni.sch.uk,Special school,54.33057,-5.71065,0.17,0
2316695,Ardnashee School and College,15 Racecourse Road,BT48 7RE,info@asc.lderry.ni.sch.uk,Special school,55.01788,-7.31656,6.75,0
2BB0444,Ardstraw Community Playgroup,11A Deerpark Road,BT78 4LL,,VP Pre-schools,54.73214,-7.45286,,0
2016701,Ardstraw Jubilee Primary School,Deerpark Road,BT78 4LA,info@ajps.ardstraw.ni.sch.uk,Primary school,54.73214,-7.45286,25.46,87
1110001,Arellian Nursery School,50 BENTHAM DRIVE,BT12 5NS,info@arellianns.belfast.ni.sch.uk,Nursery school,54.59053,-5.94569,30,0
3AB0354,Armoy Cross Community Playgroup,12 Main Street,BT53 8RQ,,VP Pre-schools,55.13109,-6.32632,,0
3016040,Armoy Primary School,2 GRACEHILL ROAD,BT53 8TD,info@armoyps.ballymoney.ni.sch.uk,Primary school,55.12789,-6.32796,18.94,81
5011115,Armstrong Primary School,6 COLLEGE HILL,BT61 9DF,info@armstrong.armagh.ni.sch.uk,Primary school,54.35171,-6.65128,21.54,516
2016068,Artigarvan Primary School,31 BERRYHILL ROAD,BT82 0HN,info@artigarvanps.strabane.ni.sch.uk,Primary school,54.85488,-7.41044,20.31,117
2316661,Arvalee School and Resource Centre,17 DEVERNEY ROAD,BT79 0ND,info@asrc.omagh.ni.sch.uk,Special school,54.59421,-7.25847,6.17,0
1210015,Ashfield Boys' High School,395 HOLYWOOD ROAD,BT4 2LY,info@ashfieldboys.belfast.ni.sch.uk,Secondary (non-grammar) school,54.60831,-5.86252,15.9,744
1210014,Ashfield Girls' High School,397 HOLYWOOD ROAD,BT4 2LY,info@ashgirls.belfast.ni.sch.uk,Secondary (non-grammar) school,54.6096,-5.86554,16.03,704
3116214,Ashgrove Nursery School,57 ASHGROVE ROAD,BT36 6LJ,info@ashgrovens.carnmoney.ni.sch.uk,Nursery school,54.67707,-5.95022,26,0
5116112,Ashgrove Nursery School,23 CHESTNUT GROVE,BT34 1JT,info@ashgrovens.newry.ni.sch.uk,Nursery school,54.18765,-6.32456,18.97,0
5AB0604,Ashgrove Pre-School Playgroup,157 Garvaghey Road,BT62 1EZ,,VP Pre-schools,54.43219,-6.45427,,0
3016244,Ashgrove Primary School,ASHGROVE ROAD,BT36 6LJ,info@ashgroveps.newtownabbey.ni.sch.uk,Primary school,54.67753,-5.94897,22.9,365
2016124,Ashlea Primary School,163 STEVENSON PARK,BT47 3QT,info@ashlea.londonderry.ni.sch.uk,Primary school,54.97365,-7.28592,21.67,52
4420086,Assumption Grammar School,22-24 BELFAST ROAD,BT24 8EA,info@assumption.ballynahinch.ni.sch.uk,Secondary (grammar) school,54.40531,-5.8967,15.68,836
5AB0232,Atticall Pre-School Playgroup,Atticall Community Centre,BT34 4RZ,atticallplaygroup@outlook.com,VP Pre-schools,54.10391,-6.06233,,0
